"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1993","438.80","435.70","442.70","426.90","","0.71%"
"12/01/1992","435.70","431.40","442.60","428.60","","1.00%"
"11/01/1992","431.40","418.70","431.90","415.60","","3.03%"
"10/01/1992","418.70","417.80","421.20","396.80","","0.22%"
"09/01/1992","417.80","414.00","425.30","412.70","","0.92%"
"08/01/1992","414.00","424.20","425.10","408.30","","-2.40%"
"07/01/1992","424.20","408.20","424.80","407.20","","3.95%"
"06/01/1992","408.10","415.40","417.30","399.90","","-1.76%"
"05/01/1992","415.40","414.90","418.80","409.90","","0.12%"
"04/01/1992","414.90","403.70","416.30","392.40","","2.77%"
"03/01/1992","403.70","412.70","413.80","401.90","","-2.18%"
"02/01/1992","412.70","408.80","418.10","406.30","","0.95%"
"01/01/1992","408.80","417.00","421.20","408.60","","-1.99%"
"12/01/1991","417.10","375.10","418.30","371.40","","11.17%"
"11/01/1991","375.20","392.50","398.20","371.60","","-4.41%"
"10/01/1991","392.50","387.90","393.80","376.10","","1.19%"
"09/01/1991","387.90","395.40","397.60","382.80","","-1.90%"
"08/01/1991","395.40","387.80","396.80","374.10","","1.96%"
"07/01/1991","387.80","371.20","387.80","370.90","","4.47%"
"06/01/1991","371.20","389.80","389.80","368.00","","-4.77%"
"05/01/1991","389.80","375.40","389.90","365.80","","3.84%"
"04/01/1991","375.40","375.20","391.30","370.30","","0.05%"
"03/01/1991","375.20","367.10","379.70","363.70","","2.21%"
"02/01/1991","367.10","343.90","371.00","340.40","","6.75%"
"01/01/1991","343.90","330.20","343.90","309.40","","4.15%"
"12/01/1990","330.20","322.20","334.00","322.00","","2.48%"
"11/01/1990","322.20","304.00","323.00","301.60","","5.99%"
"10/01/1990","304.00","306.10","319.70","294.50","","-0.69%"
"09/01/1990","306.10","322.60","326.50","296.00","","-5.11%"
"08/01/1990","322.60","356.10","357.40","306.20","","-9.41%"
"07/01/1990","356.10","358.00","369.80","350.10","","-0.53%"
"06/01/1990","358.00","361.20","368.80","351.20","","-0.89%"
"05/01/1990","361.20","330.80","362.30","330.80","","9.19%"
"04/01/1990","330.80","339.90","347.30","327.80","","-2.68%"
"03/01/1990","339.90","331.90","344.50","331.10","","2.41%"
"02/01/1990","331.90","329.10","336.10","322.10","","0.85%"
